Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
692-92-5582,B,Abuja,Member,Female,Food and beverages,"?19,742.40",3,2961.36,62188.56,2/20/2019,13:27,Card,59227.2,4.761904762,2961.36,5.90
351-62-0822,B,Abuja,Member,Female,Fashion accessories,"?5,212.80",4,1042.56,21893.76,02/06/2019,18:07,Epay,20851.2,4.761904762,1042.56,4.50
529-56-3974,B,Abuja,Member,Male,Electronic accessories,"?9,183.60",4,1836.72,38571.12,03/09/2019,17:03,Cash,36734.4,4.761904762,1836.72,6.80
299-46-1805,B,Abuja,Member,Female,Sports and travel,"?33,739.20",6,10121.76,212556.96,1/15/2019,16:19,Cash,202435.2,4.761904762,10121.76,4.50
319-50-3348,B,Abuja,Normal,Female,Home and lifestyle,"?14,508.00",2,1450.8,30466.8,03/11/2019,15:30,Epay,29016,4.761904762,1450.8,4.40
371-85-5789,B,Abuja,Normal,Male,Health and beauty,"?31,672.80",3,4750.92,99769.32,03/05/2019,10:40,Epay,95018.4,4.761904762,4750.92,5.10
273-16-6619,B,Abuja,Normal,Male,Home and lifestyle,"?11,952.00",2,1195.2,25099.2,3/15/2019,12:20,Card,23904,4.761904762,1195.2,4.40
649-29-6775,B,Abuja,Normal,Male,Fashion accessories,"?12,067.20",1,603.36,12670.56,02/08/2019,15:31,Cash,12067.2,4.761904762,603.36,6.70
145-94-9061,B,Abuja,Normal,Female,Food and beverages,"?31,809.60",5,7952.4,167000.4,1/25/2019,19:48,Cash,159048,4.761904762,7952.4,9.60
871-79-8483,B,Abuja,Normal,Male,Fashion accessories,"?33,886.80",5,8471.7,177905.7,2/25/2019,19:39,Card,169434,4.761904762,8471.7,4.80
149-71-6266,B,Abuja,Member,Male,Sports and travel,"?28,105.20",9,12647.34,265594.14,1/28/2019,12:43,Cash,252946.8,4.761904762,12647.34,4.50
640-49-2076,B,Abuja,Normal,Male,Sports and travel,"?30,160.80",8,12064.32,253350.72,01/10/2019,14:49,Cash,241286.4,4.761904762,12064.32,5.10
777-82-7220,B,Abuja,Member,Male,Home and lifestyle,"?10,843.20",8,4337.28,91082.88,03/03/2019,13:01,Cash,86745.6,4.761904762,4337.28,7.70
280-35-5823,B,Abuja,Member,Female,Home and lifestyle,"?31,219.20",1,1560.96,32780.16,1/17/2019,18:45,Epay,31219.2,4.761904762,1560.96,7.90
354-25-5821,B,Abuja,Member,Female,Sports and travel,"?24,883.20",6,7464.96,156764.16,02/08/2019,13:03,Cash,149299.2,4.761904762,7464.96,5.60
132-32-9879,B,Abuja,Member,Female,Electronic accessories,"?33,825.60",4,6765.12,142067.52,03/09/2019,18:00,Cash,135302.4,4.761904762,6765.12,9.50
370-41-7321,B,Abuja,Member,Male,Health and beauty,"?20,408.40",9,9183.78,192859.38,2/27/2019,17:24,Card,183675.6,4.761904762,9183.78,8.40
727-46-3608,B,Abuja,Member,Female,Food and beverages,"?7,203.60",9,3241.62,68074.02,02/06/2019,15:47,Epay,64832.4,4.761904762,3241.62,4.10
