Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Lagos,Member,Female,Health and beauty,"?26,888.40",7,9410.94,197629.74,01/05/2019,13:08,Epay,188218.8,4.761904762,9410.94,9.10
631-41-3108,A,Lagos,Normal,Male,Home and lifestyle,"?16,678.80",7,5837.58,122589.18,03/03/2019,13:23,Card,116751.6,4.761904762,5837.58,7.40
123-19-1176,A,Lagos,Member,Male,Health and beauty,"?20,959.20",8,8383.68,176057.28,1/27/2019,20:33,Epay,167673.6,4.761904762,8383.68,8.40
373-73-7910,A,Lagos,Normal,Male,Sports and travel,"?31,071.60",7,10875.06,228376.26,02/08/2019,10:37,Epay,217501.2,4.761904762,10875.06,5.30
355-53-5943,A,Lagos,Member,Female,Electronic accessories,"?24,782.40",6,7434.72,156129.12,2/25/2019,14:36,Epay,148694.4,4.761904762,7434.72,5.80
665-32-9167,A,Lagos,Member,Female,Health and beauty,"?13,053.60",2,1305.36,27412.56,01/10/2019,17:15,Card,26107.2,4.761904762,1305.36,7.20
365-64-0515,A,Lagos,Normal,Female,Electronic accessories,"?16,902.00",5,4225.5,88735.5,02/12/2019,10:25,Epay,84510,4.761904762,4225.5,7.10
252-56-2699,A,Lagos,Normal,Male,Food and beverages,"?15,548.40",10,7774.2,163258.2,02/07/2019,16:48,Epay,155484,4.761904762,7774.2,8.20
829-34-3910,A,Lagos,Normal,Female,Health and beauty,"?25,696.80",10,12848.4,269816.4,3/29/2019,19:21,Cash,256968,4.761904762,12848.4,5.70
656-95-9349,A,Lagos,Member,Female,Health and beauty,"?24,814.80",7,8685.18,182388.78,03/11/2019,11:03,Card,173703.6,4.761904762,8685.18,4.60
765-26-6951,A,Lagos,Normal,Male,Sports and travel,"?26,139.60",6,7841.88,164679.48,01/01/2019,10:39,Card,156837.6,4.761904762,7841.88,6.90
329-62-1586,A,Lagos,Normal,Male,Food and beverages,"?19,681.20",3,2952.18,61995.78,1/21/2019,18:00,Card,59043.6,4.761904762,2952.18,8.60
636-48-8204,A,Lagos,Normal,Male,Electronic accessories,"?12,441.60",5,3110.4,65318.4,2/17/2019,11:15,Epay,62208,4.761904762,3110.4,9.90
549-59-1358,A,Lagos,Member,Male,Sports and travel,"?31,906.80",3,4786.02,100506.42,03/02/2019,17:36,Epay,95720.4,4.761904762,4786.02,6.00
227-03-5010,A,Lagos,Member,Female,Home and lifestyle,"?18,932.40",8,7572.96,159032.16,3/22/2019,19:20,Card,151459.2,4.761904762,7572.96,8.50
189-17-4241,A,Lagos,Normal,Female,Fashion accessories,"?31,561.20",2,3156.12,66278.52,03/10/2019,12:17,Card,63122.4,4.761904762,3156.12,7.70
848-62-7243,A,Lagos,Normal,Male,Health and beauty,"?8,960.40",9,4032.18,84675.78,3/15/2019,15:36,Cash,80643.6,4.761904762,4032.18,7.40
595-11-5460,A,Lagos,Normal,Male,Health and beauty,"?34,768.80",2,3476.88,73014.48,3/15/2019,10:12,Card,69537.6,4.761904762,3476.88,5.10
129-29-8530,A,Lagos,Member,Male,Sports and travel,"?22,543.20",5,5635.8,118351.8,03/10/2019,19:15,Epay,112716,4.761904762,5635.8,7.00
272-65-1806,A,Lagos,Normal,Female,Electronic accessories,"?21,916.80",9,9862.56,207113.76,1/15/2019,17:17,Epay,197251.2,4.761904762,9862.56,4.70
162-48-8011,A,Lagos,Member,Female,Food and beverages,"?16,052.40",5,4013.1,84275.1,02/10/2019,15:10,Cash,80262,4.761904762,4013.1,8.50
106-35-6779,A,Lagos,Member,Male,Home and lifestyle,"?15,962.40",2,1596.24,33521.04,3/27/2019,11:26,Cash,31924.8,4.761904762,1596.24,5.80
635-40-6220,A,Lagos,Normal,Male,Health and beauty,"?32,256.00",8,12902.4,270950.4,02/07/2019,11:28,Epay,258048,4.761904762,12902.4,6.60
817-48-8732,A,Lagos,Member,Female,Home and lifestyle,"?26,046.00",10,13023,273483,1/20/2019,15:55,Cash,260460,4.761904762,13023,5.40
199-75-8169,A,Lagos,Member,Male,Sports and travel,"?5,691.60",10,2845.8,59761.8,03/06/2019,12:27,Card,56916,4.761904762,2845.8,8.60
877-22-3308,A,Lagos,Member,Male,Health and beauty,"?5,713.20",10,2856.6,59988.6,3/13/2019,16:40,Cash,57132,4.761904762,2856.6,5.80
232-11-3025,A,Lagos,Normal,Male,Sports and travel,"?28,357.20",10,14178.6,297750.6,1/24/2019,10:04,Cash,283572,4.761904762,14178.6,6.40
382-03-4532,A,Lagos,Member,Female,Health and beauty,"?6,598.80",1,329.94,6928.74,02/02/2019,18:50,Cash,6598.8,4.761904762,329.94,4.30
287-21-9091,A,Lagos,Normal,Male,Home and lifestyle,"?26,881.20",9,12096.54,254027.34,1/22/2019,10:55,Epay,241930.8,4.761904762,12096.54,9.40
381-20-0914,A,Lagos,Member,Female,Fashion accessories,"?7,203.60",9,3241.62,68074.02,01/12/2019,15:48,Card,64832.4,4.761904762,3241.62,5.70
633-44-8566,A,Lagos,Member,Male,Food and beverages,"?17,776.80",7,6221.88,130659.48,3/27/2019,20:35,Card,124437.6,4.761904762,6221.88,7.30
504-35-8843,A,Lagos,Normal,Male,Sports and travel,"?15,289.20",1,764.46,16053.66,01/02/2019,16:57,Cash,15289.2,4.761904762,764.46,5.70
873-51-0671,A,Lagos,Member,Female,Sports and travel,"?7,912.80",7,2769.48,58159.08,01/10/2019,16:42,Epay,55389.6,4.761904762,2769.48,5.10
594-34-4444,A,Lagos,Normal,Male,Electronic accessories,"?34,977.60",1,1748.88,36726.48,03/08/2019,20:38,Epay,34977.6,4.761904762,1748.88,7.20
865-92-6136,A,Lagos,Normal,Male,Food and beverages,"?18,990.00",3,2848.5,59818.5,3/23/2019,10:16,Epay,56970,4.761904762,2848.5,9.30
212-62-1842,A,Lagos,Normal,Male,Food and beverages,"?20,973.60",6,6292.08,132133.68,3/28/2019,16:44,Cash,125841.6,4.761904762,6292.08,9.90
704-48-3927,A,Lagos,Member,Male,Electronic accessories,"?31,921.20",10,15960.6,335172.6,01/12/2019,14:50,Epay,319212,4.761904762,15960.6,7.30
630-74-5166,A,Lagos,Normal,Male,Sports and travel,"?22,366.80",6,6710.04,140910.84,3/22/2019,20:19,Cash,134200.8,4.761904762,6710.04,7.40
645-44-1170,A,Lagos,Member,Male,Home and lifestyle,"?20,905.20",9,9407.34,197554.14,1/19/2019,20:07,Epay,188146.8,4.761904762,9407.34,4.30
642-32-2990,A,Lagos,Normal,Female,Food and beverages,"?3,945.60",10,1972.8,41428.8,02/02/2019,20:48,Epay,39456,4.761904762,1972.8,6.00
638-60-7125,A,Lagos,Normal,Female,Electronic accessories,"?35,841.60",8,14336.64,301069.44,2/14/2019,17:03,Card,286732.8,4.761904762,14336.64,5.20
668-90-8900,A,Lagos,Normal,Female,Home and lifestyle,"?33,728.40",7,11804.94,247903.74,03/10/2019,18:44,Card,236098.8,4.761904762,11804.94,4.50
870-54-3162,A,Lagos,Normal,Female,Sports and travel,"?11,610.00",5,2902.5,60952.5,1/27/2019,13:26,Cash,58050,4.761904762,2902.5,9.00
802-70-5316,A,Lagos,Member,Female,Sports and travel,"?33,166.80",6,9950.04,208950.84,03/06/2019,20:34,Cash,199000.8,4.761904762,9950.04,8.30
700-81-1757,A,Lagos,Normal,Female,Electronic accessories,"?9,471.60",5,2367.9,49725.9,1/18/2019,20:59,Card,47358,4.761904762,2367.9,8.80
354-39-5160,A,Lagos,Member,Female,Home and lifestyle,"?12,391.20",6,3717.36,78064.56,2/18/2019,15:39,Cash,74347.2,4.761904762,3717.36,9.80
575-30-8091,A,Lagos,Normal,Male,Sports and travel,"?26,100.00",8,10440,219240,3/16/2019,19:25,Epay,208800,4.761904762,10440,9.20
239-10-7476,A,Lagos,Normal,Female,Home and lifestyle,"?28,062.00",6,8418.6,176790.6,1/21/2019,16:37,Epay,168372,4.761904762,8418.6,8.00
685-64-1609,A,Lagos,Member,Female,Fashion accessories,"?10,850.40",10,5425.2,113929.2,02/10/2019,12:28,Epay,108504,4.761904762,5425.2,9.20
238-49-0436,A,Lagos,Normal,Male,Health and beauty,"?11,685.60",8,4674.24,98159.04,3/27/2019,13:48,Card,93484.8,4.761904762,4674.24,4.90
746-94-0204,A,Lagos,Normal,Male,Fashion accessories,"?29,966.40",9,13484.88,283182.48,1/29/2019,11:56,Card,269697.6,4.761904762,13484.88,7.40
782-95-9291,A,Lagos,Member,Male,Food and beverages,"?33,224.40",5,8306.1,174428.1,2/20/2019,15:55,Card,166122,4.761904762,8306.1,9.00
275-28-0149,A,Lagos,Normal,Male,Sports and travel,"?22,928.40",1,1146.42,24074.82,2/25/2019,16:21,Cash,22928.4,4.761904762,1146.42,6.00
101-17-6199,A,Lagos,Normal,Male,Food and beverages,"?16,484.40",7,5769.54,121160.34,3/13/2019,19:44,Card,115390.8,4.761904762,5769.54,7.00
687-47-8271,A,Lagos,Normal,Male,Fashion accessories,"?35,632.80",10,17816.4,374144.4,02/08/2019,16:20,Card,356328,4.761904762,17816.4,8.70
